Date,Time,Truth,Distance,St Dev,Successes,Attempts,RSSI(range),RTT(range),RSSI(scan),RTT(scan),Frequency,CenterFreq0,CenterFreq1,BW,Standard,BSSID,SSID,
2023-12-14,09-21-59.085,0.5,2.481,0.052,12,31,-56,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-21-59.257,0.5,2.455,0.069,11,31,-57,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-21-59.425,0.5,2.567,0.117,10,31,-57,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-21-59.592,0.5,2.453,0.066,11,31,-56,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-21-59.769,0.5,2.364,0.179,10,31,-57,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-21-59.935,0.5,2.555,0.537,11,31,-56,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-22-00.102,0.5,2.734,0.577,13,31,-57,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-22-00.280,0.5,2.931,0.57,11,31,-57,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-22-00.446,0.5,2.544,0.068,10,31,-57,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
2023-12-14,09-22-00.624,0.5,2.651,0.563,11,31,-54,1,-40,1,5745,5775,0,80,11ac,70:3a:cb:8d:fe:3e,"ayushidrawsablank",
